,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
61,M4N,Central Toronto,Lawrence Park,43.729199,-79.40325250000001,1,Sushi Restaurant,Coffee Shop,Bakery,Italian Restaurant,Asian Restaurant,Pub,Bank,Fast Food Restaurant,Cosmetics Shop,Pharmacy
67,M4P,Central Toronto,Davisville North,43.697936,-79.3972908,1,Italian Restaurant,Sushi Restaurant,Coffee Shop,Indian Restaurant,Pub,Park,Convenience Store,Pet Store,Deli / Bodega,Ramen Restaurant
73,M4R,Central Toronto,"North Toronto West,  Lawrence Park",43.6534817,-79.38393470000001,1,Clothing Store,Coffee Shop,Plaza,Hotel,Sushi Restaurant,Cosmetics Shop,Bar,Office,Theater,Steakhouse
79,M4S,Central Toronto,Davisville,43.697936,-79.3972908,1,Italian Restaurant,Sushi Restaurant,Coffee Shop,Indian Restaurant,Pub,Park,Convenience Store,Pet Store,Deli / Bodega,Ramen Restaurant
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6816776,-79.3905037,1,French Restaurant,Café,Italian Restaurant,Spa,Sushi Restaurant,Coffee Shop,Pub,Bar,Liquor Store,Bakery
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6694032,-79.37270409999999,1,Coffee Shop,Pizza Place,Grocery Store,Café,Italian Restaurant,Beer Store,Bar,Filipino Restaurant,Restaurant,Library
99,M4Y,Downtown Toronto,Church and Wellesley,43.6655242,-79.3838011,1,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Gay Bar,Restaurant,Café,Hotel,Mediterranean Restaurant,Men's Store,Diner
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,1,Coffee Shop,Thai Restaurant,Pet Store,Beer Store,Food Truck,Restaurant,Auto Dealership,Pub,Grocery Store,Pharmacy
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6564995,-79.3771141,1,Clothing Store,Coffee Shop,Hotel,Cosmetics Shop,Bookstore,Café,Fast Food Restaurant,Japanese Restaurant,Lingerie Store,Electronics Store
15,M5C,Downtown Toronto,St. James Town,43.6694032,-79.37270409999999,1,Coffee Shop,Pizza Place,Grocery Store,Café,Italian Restaurant,Beer Store,Bar,Filipino Restaurant,Restaurant,Library
20,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858,1,Coffee Shop,Restaurant,Café,Italian Restaurant,Hotel,Japanese Restaurant,Beer Bar,Gastropub,Bakery,Seafood Restaurant
24,M5G,Downtown Toronto,Central Bay Street,43.656119200000006,-79.38467,1,Coffee Shop,Clothing Store,Hotel,Plaza,Sushi Restaurant,Electronics Store,Bubble Tea Shop,Sandwich Place,Diner,Middle Eastern Restaurant
30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6485875,-79.39137290000001,1,Coffee Shop,Thai Restaurant,Bar,Cosmetics Shop,Sushi Restaurant,Vegetarian / Vegan Restaurant,Hotel,Bookstore,Beer Bar,Speakeasy
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.640080100000006,-79.3801495,1,Coffee Shop,Café,Hotel,Restaurant,Italian Restaurant,Pizza Place,Fried Chicken Joint,History Museum,Sandwich Place,Brewery
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.647376799999996,-79.3813719429129,1,Coffee Shop,Hotel,Café,Restaurant,American Restaurant,Seafood Restaurant,Japanese Restaurant,Asian Restaurant,Beer Bar,Salad Place
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64809515,-79.37902543099575,1,Coffee Shop,Restaurant,Hotel,Café,Japanese Restaurant,Gym,American Restaurant,Italian Restaurant,Deli / Bodega,Seafood Restaurant
62,M5N,Central Toronto,Roselawn,43.7105408,-79.40113790000001,1,Coffee Shop,Restaurant,Fast Food Restaurant,Italian Restaurant,Diner,Salad Place,Café,Mexican Restaurant,Yoga Studio,Pizza Place
68,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.701028,-79.4255998,1,Pizza Place,Bagel Shop,Pharmacy,Trail,Burger Joint,Sandwich Place,Frozen Yogurt Shop,Sushi Restaurant,Korean Restaurant,Gastropub
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.670337700000005,-79.407117,1,Pizza Place,Coffee Shop,Bistro,Thai Restaurant,Park,Grocery Store,Ice Cream Shop,Middle Eastern Restaurant,Korean Restaurant,Bookstore
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.663462,-79.39775965337452,1,Café,Japanese Restaurant,Park,Bookstore,Yoga Studio,French Restaurant,Sandwich Place,Museum,Chinese Restaurant,Restaurant
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6552136,-79.4022604,1,Café,Bar,Coffee Shop,Vegetarian / Vegan Restaurant,Mexican Restaurant,Vietnamese Restaurant,Breakfast Spot,Bakery,Dessert Shop,Pizza Place
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.642563700000004,-79.38708718320467,1,Hotel,Coffee Shop,Pizza Place,Bar,Baseball Stadium,Restaurant,Ice Cream Shop,Gym,Scenic Lookout,Roof Deck
92,M5W,Downtown Toronto,Downtown Toronto,43.6541737,-79.3808116451341,1,Coffee Shop,Clothing Store,Hotel,Diner,Restaurant,Plaza,Gym,Seafood Restaurant,Café,Office
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.648768100000005,-79.38169179283025,1,Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,Asian Restaurant,Salad Place,Seafood Restaurant,American Restaurant
10,M6B,North York,Glencairn,43.7087117,-79.4406853,1,Japanese Restaurant,Playground,Pizza Place,Pub,Grocery Store,Yoga Studio,Doctor's Office,Dog Run,Doner Restaurant,Donut Shop
25,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051,1,Korean Restaurant,Coffee Shop,Mexican Restaurant,Cocktail Bar,Sandwich Place,Café,Indian Restaurant,Grocery Store,Dessert Shop,Ice Cream Shop
31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6602019,-79.4357191,1,Bar,Bakery,Coffee Shop,Vietnamese Restaurant,Restaurant,Beer Store,Sandwich Place,Café,Mexican Restaurant,Cocktail Bar
37,M6J,West Toronto,"Little Portugal, Trinity",43.64741325,-79.43111632546047,1,Bar,Café,Coffee Shop,Cocktail Bar,Korean Restaurant,Bakery,Restaurant,French Restaurant,Dive Bar,Athletics & Sports
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.650917299999996,-79.4400216,1,Bar,Vietnamese Restaurant,Park,Bakery,Gastropub,Korean Restaurant,Café,French Restaurant,Jazz Club,Grocery Store
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7186899,-79.47753370000001,1,Coffee Shop,Convenience Store,Chinese Restaurant,American Restaurant,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
63,M6N,York,"Runnymede, The Junction North",43.6517026,-79.4759978,1,Coffee Shop,Café,Bakery,Bank,Pizza Place,Gastropub,Thai Restaurant,Soccer Field,Dance Studio,Shoe Store
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.64029220000001,-79.43729899898156,1,Tibetan Restaurant,Pharmacy,Café,Bakery,Diner,Pizza Place,Indian Restaurant,Restaurant,Chiropractor,Beach Bar
81,M6S,West Toronto,"Runnymede, Swansea",43.6517026,-79.4759978,1,Coffee Shop,Café,Bakery,Bank,Pizza Place,Gastropub,Thai Restaurant,Soccer Field,Dance Studio,Shoe Store
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.659659000000005,-79.39033990000001,1,Coffee Shop,Café,Sandwich Place,Italian Restaurant,Japanese Restaurant,Thai Restaurant,Bubble Tea Shop,French Restaurant,Chinese Restaurant,Korean Restaurant
100,M7Y,East Toronto,East Toronto,43.6534817,-79.38393470000001,1,Clothing Store,Coffee Shop,Plaza,Hotel,Sushi Restaurant,Cosmetics Shop,Bar,Office,Theater,Steakhouse
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6007625,-79.505264,1,Café,Pharmacy,Mexican Restaurant,Pizza Place,Scenic Lookout,Dessert Shop,Fried Chicken Joint,Bakery,Restaurant,Coffee Shop
93,M8W,Etobicoke,"Alderwood, Long Branch",43.6017173,-79.5452325,1,Pizza Place,Pub,Gym,Skating Rink,Coffee Shop,Sandwich Place,Pharmacy,Electronics Store,Egyptian Restaurant,Ethiopian Restaurant
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6473811,-79.51133279999999,1,Coffee Shop,Sushi Restaurant,Italian Restaurant,Bank,Breakfast Spot,Pub,Dessert Shop,Tapas Restaurant,Bar,Gastropub
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6166773,-79.49680479999999,1,Yoga Studio,Bar,Performing Arts Venue,Bakery,Skating Rink,Electronics Store,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant
5,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092,1,Smoothie Shop,Sandwich Place,Food Service,Coffee Shop,Egyptian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant
64,M9N,York,Weston,43.70016079999999,-79.5162474,1,Train Station,Coffee Shop,Discount Store,Pharmacy,Skating Rink,Fried Chicken Joint,Laundromat,Café,Sandwich Place,Bank
94,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.6534817,-79.38393470000001,1,Clothing Store,Coffee Shop,Plaza,Hotel,Sushi Restaurant,Cosmetics Shop,Bar,Office,Theater,Steakhouse
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.8161778,-79.3145378,2,Playground,Yoga Studio,Electronics Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.8161778,-79.3145378,2,Playground,Yoga Studio,Electronics Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1304992,3,Train Station,Bus Line,Yoga Studio,Egyptian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7552251,-79.1982293,3,Train Station,Baseball Field,Storage Facility,Yoga Studio,Electronics Store,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
40,M3K,North York,Downsview,43.7492988,-79.462248,3,Park,Gas Station,Metro Station,Furniture / Home Store,Bus Station,Outdoor Supply Store,Coffee Shop,Gym / Fitness Center,French Restaurant,Eastern European Restaurant
46,M3L,North York,Downsview,43.7492988,-79.462248,3,Park,Gas Station,Metro Station,Furniture / Home Store,Bus Station,Outdoor Supply Store,Coffee Shop,Gym / Fitness Center,French Restaurant,Eastern European Restaurant
53,M3M,North York,Downsview,43.7492988,-79.462248,3,Park,Gas Station,Metro Station,Furniture / Home Store,Bus Station,Outdoor Supply Store,Coffee Shop,Gym / Fitness Center,French Restaurant,Eastern European Restaurant
60,M3N,North York,Downsview,43.7492988,-79.462248,3,Park,Gas Station,Metro Station,Furniture / Home Store,Bus Station,Outdoor Supply Store,Coffee Shop,Gym / Fitness Center,French Restaurant,Eastern European Restaurant
14,M4C,East York,Woodbine Heights,43.69992,-79.31927900000001,3,Skating Rink,ATM,Pharmacy,Bus Stop,Athletics & Sports,Park,Dance Studio,Doner Restaurant,Donut Shop,Dumpling Restaurant
23,M4G,East York,Leaside,43.70479829999999,-79.36809040000001,3,Sandwich Place,Convenience Store,Japanese Restaurant,Park,Farmers Market,Fast Food Restaurant,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6903876,-79.3832965,3,Restaurant,Convenience Store,Gym,Park,Tennis Court,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,Fast Food Restaurant
91,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457,3,Playground,Bike Trail,Park,Yoga Studio,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.72207879999999,-79.4375067,3,Electronics Store,Doctor's Office,Kids Store,Park,Bank,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,Fast Food Restaurant
16,M6C,York,Humewood-Cedarvale,43.6896191,-79.479188,3,Discount Store,Grocery Store,Wine Shop,Sandwich Place,Convenience Store,Coffee Shop,Park,Gas Station,Restaurant,Dive Bar
21,M6E,York,Caledonia-Fairbanks,43.6896191,-79.479188,3,Discount Store,Grocery Store,Wine Shop,Sandwich Place,Convenience Store,Coffee Shop,Park,Gas Station,Restaurant,Dive Bar
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6896191,-79.479188,3,Discount Store,Grocery Store,Wine Shop,Sandwich Place,Convenience Store,Coffee Shop,Park,Gas Station,Restaurant,Dive Bar
69,M6P,West Toronto,"High Park, The Junction South",43.653866799999996,-79.4668644,3,Convenience Store,Pet Store,Pub,Sandwich Place,Shipping Store,Food Truck,Gym,Gym / Fitness Center,Mexican Restaurant,Sporting Goods Shop
76,M7R,Mississauga,Mississauga,43.678524,-79.62912913064456,3,Airport,Airport Terminal,Yoga Studio,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6631995,-79.5685684,3,Electronics Store,Park,Convenience Store,Skating Rink,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
50,M9L,North York,Humber Summit,43.7600778,-79.5717598,3,Furniture / Home Store,Pharmacy,Shopping Mall,Park,Bakery,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
57,M9M,North York,"Humberlea, Emery",43.7213166,-79.5331605,3,Baseball Field,Convenience Store,Gas Station,Yoga Studio,Electronics Store,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
70,M9P,Etobicoke,Westmount,43.6936399,-79.5210426,3,Pizza Place,Gas Station,Park,Yoga Studio,Egyptian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7373876,-79.4109253,4,Gym / Fitness Center,Yoga Studio,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
